,truck,loader,ton,n_shovel,truck_total_cycle,loader_total_cycle,distance_empty,distance_full,date
17,CAEX41,PH06,362.5535209389398,3.0,2597.0,146.0,6257.0,5137.0,2023-01-01
238,CAEX66,PH48,377.4757425332469,4.0,2283.0,218.0,5016.0,5217.0,2023-01-01
255,CAEX25,PH48,271.61795800484,4.0,1950.0,153.0,5135.0,5004.0,2023-01-01
338,CAEX52,PH48,275.4947957713386,3.0,1953.0,346.0,4963.0,5032.0,2023-01-01
411,CAEX56,PH48,268.114169290367,3.0,2705.0,125.0,5256.0,4998.0,2023-01-01
465,CAEX46,PH06,271.9055774989749,3.0,1206.0,396.0,14302.0,6000.0,2023-01-01
689,CAEX54,PH48,364.6918141969858,4.0,1979.0,267.0,7009.0,5112.0,2023-01-02
701,CAEX98,PH48,379.9679343888138,3.0,1324.0,281.0,5186.0,5193.0,2023-01-02
840,CAEX56,PH48,369.2300194766167,3.0,1679.0,202.0,4951.0,3945.0,2023-01-02
847,CAEX66,PH48,363.9190061200461,3.0,1605.0,314.0,6845.0,5892.0,2023-01-02
1015,CAEX98,PH55,273.04205791309005,4.0,2244.0,321.0,4058.0,7814.0,2023-01-02
1028,CAEX64,PH48,365.273294515057,4.0,1281.0,134.0,5357.0,7482.0,2023-01-02
1029,CAEX55,PH48,363.16339793965625,4.0,2167.0,272.0,6715.0,5039.0,2023-01-02
1139,CAEX47,PH06,275.8982013172296,3.0,1413.0,424.0,6695.0,3948.0,2023-01-02
1175,CAEX31,PH55,271.15137842374475,4.0,2429.0,431.0,4130.0,8009.0,2023-01-02
1304,CAEX71,PH48,268.4064347606045,3.0,1351.0,347.0,5202.0,3760.0,2023-01-03
1472,CAEX62,PH48,370.5814084392048,4.0,1461.0,381.0,5060.0,3727.0,2023-01-03
1575,CAEX66,PH55,361.40323400760616,4.0,2440.0,247.0,4331.0,4450.0,2023-01-03
1596,CAEX58,PH06,272.379505196482,3.0,1796.0,289.0,5074.0,3756.0,2023-01-03
1612,CAEX62,PH48,373.5936419221676,4.0,1369.0,320.0,5135.0,3724.0,2023-01-03
1614,CAEX62,PH48,363.0226268092648,4.0,1640.0,399.0,5200.0,3959.0,2023-01-03
1615,CAEX41,PH55,368.0708010590741,5.0,1650.0,416.0,4412.0,3083.0,2023-01-03
1616,CAEX01,PH48,368.09038528996734,4.0,1686.0,354.0,5147.0,3905.0,2023-01-03
1652,CAEX71,PH06,275.24479873762454,3.0,1416.0,295.0,4986.0,3679.0,2023-01-03
1744,CAEX49,PH06,361.7595205340344,5.0,1701.0,472.0,5114.0,3608.0,2023-01-03
1768,CAEX84,PH06,365.94232055940233,5.0,1603.0,442.0,5143.0,3773.0,2023-01-03
1833,CAEX30,PH48,361.3510123538488,4.0,1553.0,311.0,4981.0,3597.0,2023-01-03
1835,CAEX64,PH06,373.6515369453229,5.0,1627.0,259.0,5086.0,4860.0,2023-01-03
1841,CAEX47,PH48,267.7208386958917,3.0,2026.0,225.0,6641.0,5768.0,2023-01-03
1856,CAEX01,PH48,364.3470071713253,4.0,1603.0,211.0,5193.0,3748.0,2023-01-03
1907,CAEX74,PH48,276.1292242254516,3.0,2055.0,333.0,5319.0,5194.0,2023-01-03
1917,CAEX34,PH06,363.95938222384007,4.0,1864.0,425.0,7028.0,4935.0,2023-01-03
1937,CAEX34,PH55,364.8148991873762,4.0,1906.0,177.0,2978.0,4238.0,2023-01-03
1998,CAEX44,PH58,275.9341769071081,3.0,3192.0,375.0,7719.0,7525.0,2023-01-03
2000,CAEX54,PH06,366.4659922076196,4.0,2175.0,283.0,6175.0,4786.0,2023-01-03
2152,CAEX52,PH48,274.3345616537188,3.0,2144.0,260.0,5264.0,5494.0,2023-01-04
2181,CAEX46,PH55,373.0461815366608,5.0,2217.0,380.0,4393.0,4528.0,2023-01-04
2222,CAEX30,PH48,264.88350915084806,3.0,2526.0,237.0,5262.0,5206.0,2023-01-04
2234,CAEX66,PH06,376.6721293728973,6.0,2024.0,895.0,6341.0,4889.0,2023-01-04
2287,CAEX41,PH58,276.11919320784966,3.0,3507.0,206.0,8216.0,7689.0,2023-01-04
2541,CAEX48,PH06,361.6333039340109,4.0,2966.0,400.0,10078.0,6598.0,2023-01-04
2638,CAEX48,PH48,364.9153306703188,4.0,2276.0,341.0,5069.0,5281.0,2023-01-04
2731,CAEX87,PH58,362.6194293999189,4.0,3164.0,176.0,8403.0,7397.0,2023-01-04
2779,CAEX52,PH55,271.60934727729983,6.0,1775.0,517.0,3015.0,3010.0,2023-01-05
2792,CAEX01,PH48,368.136086251107,4.0,3347.0,448.0,5259.0,6354.0,2023-01-05
2804,CAEX56,PH58,270.87598936566013,3.0,2269.0,468.0,11420.0,9070.0,2023-01-05
2961,CAEX93,PH06,362.5962436824436,4.0,2832.0,301.0,5211.0,5288.0,2023-01-05
3001,CAEX55,PH58,365.3320865861381,4.0,3026.0,471.0,8875.0,8854.0,2023-01-05
3036,CAEX42,PH58,266.6853427415016,3.0,3588.0,174.0,9198.0,8931.0,2023-01-05
3159,CAEX47,PH58,276.6170901150414,3.0,2781.0,199.0,7387.0,7329.0,2023-01-05
3182,CAEX60,PH58,272.63899800889,3.0,3203.0,143.0,8799.0,8982.0,2023-01-05
3297,CAEX47,PH48,271.9501303598477,3.0,2353.0,158.0,5289.0,5373.0,2023-01-05
3300,CAEX48,PH48,271.65730280347793,3.0,1937.0,237.0,5272.0,5321.0,2023-01-05
3305,CAEX85,PH06,369.9146277326637,4.0,1823.0,309.0,6975.0,5226.0,2023-01-05
3349,CAEX44,PH48,268.7979198479092,4.0,2492.0,370.0,8674.0,6553.0,2023-01-05
3353,CAEX81,PH06,368.1433208666069,4.0,2239.0,278.0,5049.0,5377.0,2023-01-05
3380,CAEX98,PH06,265.78564888297404,4.0,2067.0,370.0,6676.0,5195.0,2023-01-05
3404,CAEX81,PH48,276.1272436174431,3.0,2699.0,152.0,4881.0,6348.0,2023-01-05
3482,CAEX87,PH58,273.2433851994022,3.0,3518.0,225.0,9205.0,8884.0,2023-01-05
3504,CAEX93,PH06,275.23488294307003,3.0,1493.0,448.0,3824.0,5194.0,2023-01-05
3612,CAEX44,PH06,367.2600479979089,3.0,2680.0,591.0,5263.0,5432.0,2023-01-06
3615,CAEX44,PH48,365.0154874804862,4.0,3585.0,257.0,4917.0,6350.0,2023-01-06
4006,CAEX93,PH58,275.9413817306609,5.0,2653.0,330.0,7501.0,8869.0,2023-01-06
4018,CAEX64,PH48,274.8737176727016,3.0,3139.0,255.0,6800.0,6418.0,2023-01-06
4035,CAEX47,PH06,366.1312122187316,4.0,2516.0,426.0,5837.0,7617.0,2023-01-06
4054,CAEX34,PH58,269.8369138913354,3.0,3080.0,458.0,7437.0,8819.0,2023-01-06
4057,CAEX81,PH58,271.4151089516671,3.0,2593.0,336.0,7211.0,8892.0,2023-01-06
4097,CAEX31,PH06,370.3086708441366,3.0,2078.0,222.0,7451.0,5047.0,2023-01-06
4108,CAEX46,PH06,267.56285601107106,3.0,2721.0,644.0,7831.0,5241.0,2023-01-06
4156,CAEX66,PH06,364.9176242581472,3.0,2441.0,291.0,5326.0,5491.0,2023-01-06
4157,CAEX66,PH58,274.78291687342613,5.0,3426.0,329.0,8991.0,8813.0,2023-01-06
4353,CAEX93,PH48,274.5752217082413,3.0,3617.0,417.0,4875.0,6539.0,2023-01-06
4388,CAEX81,PH48,274.0929657202357,3.0,3684.0,275.0,6669.0,7349.0,2023-01-07
4469,CAEX24,PH58,368.700238550469,5.0,2716.0,311.0,7432.0,8959.0,2023-01-07
4549,CAEX08,PH48,273.7367444842424,3.0,3044.0,429.0,6614.0,8714.0,2023-01-07
4575,CAEX66,PH06,361.3618222816749,4.0,2845.0,259.0,10069.0,5424.0,2023-01-07
4650,CAEX73,PH58,275.52541081625014,5.0,2670.0,284.0,7555.0,9185.0,2023-01-07
4671,CAEX39,PH58,367.97238512338726,4.0,2962.0,325.0,7613.0,8914.0,2023-01-07
4691,CAEX24,PH58,362.0089700709865,3.0,3288.0,149.0,9008.0,7235.0,2023-01-07
4715,CAEX30,PH48,366.3417541226492,4.0,3256.0,161.0,6583.0,7572.0,2023-01-07
4727,CAEX13,PH48,276.1718839423544,3.0,1498.0,200.0,9236.0,4392.0,2023-01-07
4797,CAEX98,PH48,371.6710970433393,4.0,3208.0,369.0,4812.0,7682.0,2023-01-07
4824,CAEX48,PH58,364.5458503682602,5.0,3271.0,270.0,8978.0,8991.0,2023-01-07
4825,CAEX80,PH58,363.4308463588305,4.0,3469.0,396.0,8929.0,8819.0,2023-01-07
5000,CAEX60,PH55,272.51088649145544,4.0,1550.0,526.0,3038.0,2984.0,2023-01-08
5010,CAEX13,PH55,362.1651487022162,4.0,2002.0,494.0,4733.0,4429.0,2023-01-08
5022,CAEX84,PH06,378.4463980232824,3.0,2069.0,416.0,7797.0,5410.0,2023-01-08
5075,CAEX01,PH58,374.5428729307584,4.0,2819.0,441.0,7746.0,7549.0,2023-01-08
5124,CAEX73,PH58,371.72302915687067,4.0,1687.0,248.0,7706.0,1263.0,2023-01-08
5179,CAEX60,PH58,271.97161659548885,3.0,2910.0,449.0,7408.0,7320.0,2023-01-08
5182,CAEX13,PH55,269.23416916337,3.0,2199.0,163.0,4589.0,4439.0,2023-01-08
5187,CAEX25,PH58,276.9509397485542,3.0,2718.0,337.0,7772.0,7599.0,2023-01-08
5218,CAEX25,PH55,275.97755574427305,3.0,1939.0,373.0,4698.0,4408.0,2023-01-08
5327,CAEX60,PH55,275.410499216062,3.0,2207.0,371.0,4549.0,4364.0,2023-01-08
5500,CAEX24,PH55,363.0916609686242,4.0,2196.0,193.0,4248.0,4364.0,2023-01-08
5660,CAEX85,PH06,371.3983760742215,3.0,2209.0,179.0,6872.0,5491.0,2023-01-08
5661,CAEX01,PH58,361.9366315079107,4.0,3288.0,238.0,7845.0,7727.0,2023-01-08
5854,CAEX37,PH55,364.0092184923853,4.0,1972.0,147.0,4492.0,4315.0,2023-01-09
6040,CAEX98,PH55,273.8982704652178,3.0,2139.0,173.0,4590.0,4615.0,2023-01-09
6126,CAEX52,PH58,366.57898416822894,4.0,1955.0,389.0,9137.0,1004.0,2023-01-09
6328,CAEX44,PH55,361.613144411769,4.0,2213.0,461.0,4346.0,4338.0,2023-01-09
6404,CAEX30,PH06,363.2583105731157,4.0,2408.0,482.0,5509.0,1499.0,2023-01-09
6490,CAEX81,PH48,366.8488847988884,4.0,1706.0,240.0,5949.0,2218.0,2023-01-09
6593,CAEX01,PH06,369.01666159441066,5.0,2688.0,325.0,6465.0,5458.0,2023-01-09
6700,CAEX74,PH48,367.8254067791342,4.0,949.0,409.0,2311.0,2332.0,2023-01-09
6741,CAEX80,PH58,361.45256519360254,3.0,1173.0,411.0,7809.0,1534.0,2023-01-09
6957,CAEX81,PH58,271.9892460482947,3.0,3783.0,159.0,12184.0,7181.0,2023-01-10
7055,CAEX98,PH06,276.97219339074536,3.0,2235.0,214.0,5568.0,5571.0,2023-01-10
7290,CAEX46,PH06,371.206050958525,3.0,1535.0,418.0,4158.0,5661.0,2023-01-10
7375,CAEX23,PH48,270.1637009234278,6.0,2471.0,655.0,5832.0,6192.0,2023-01-10
7379,CAEX10,PH58,267.0643384440467,3.0,2822.0,285.0,12888.0,7934.0,2023-01-10
7609,CAEX93,PH48,268.85314218554913,3.0,2119.0,480.0,5604.0,6280.0,2023-01-10
7704,CAEX47,PH06,361.5167980710911,4.0,2844.0,407.0,14915.0,7364.0,2023-01-11
7786,CAEX85,PH58,371.3936055051746,3.0,1265.0,438.0,7257.0,1193.0,2023-01-11
7792,CAEX66,PH06,362.0062374581226,4.0,2268.0,476.0,7013.0,5680.0,2023-01-11
7949,CAEX39,PH58,368.5394450040668,4.0,1437.0,301.0,7327.0,1149.0,2023-01-11
8094,CAEX66,PH48,371.4267288902949,4.0,1711.0,469.0,8710.0,8264.0,2023-01-11
8312,CAEX66,PH58,368.1451218369701,4.0,1369.0,224.0,7152.0,1049.0,2023-01-11
8371,CAEX44,PH06,269.8197266351441,4.0,1859.0,381.0,1097.0,7322.0,2023-01-11
8547,CAEX87,PH48,366.7857951958652,5.0,953.0,379.0,1338.0,1396.0,2023-01-12
8584,CAEX70,PH58,271.6076233962527,3.0,3105.0,272.0,7348.0,7365.0,2023-01-12
8629,CAEX71,PH58,276.02825440136303,3.0,2932.0,147.0,7384.0,8530.0,2023-01-12
8743,CAEX58,PH48,272.03546662599933,3.0,970.0,305.0,1542.0,1303.0,2023-01-12
8821,CAEX66,PH06,372.606819331469,4.0,799.0,353.0,7054.0,1031.0,2023-01-12
8939,CAEX93,PH48,363.34260945701226,4.0,546.0,242.0,9229.0,1525.0,2023-01-12
9179,CAEX90,PH48,362.6770313186116,4.0,892.0,482.0,1954.0,1750.0,2023-01-13
9235,CAEX31,PH48,274.8965679322844,3.0,3748.0,402.0,7034.0,6905.0,2023-01-13
9269,CAEX87,PH58,272.3325638011057,3.0,3469.0,176.0,7428.0,7257.0,2023-01-13
